TS	2_bonds	no_bonds	303_350
21900000	-1347093.8116	-1237408.9321	-1344327.1648
21950000	-1347543.8184	-1238122.3796	-1344762.3489
22000000	-1348268.7290	-1236831.0656	-1344700.8399
22050000	-1348363.1844	-1236426.6643	-1344190.8270
22100000	-1348066.5341	-1236045.6233	-1343858.1924
22150000	-1346805.2317	-1235165.6362	-1344571.7447
22200000	-1348297.5063	-1237061.9888	-1343480.7513
22250000	-1347762.2270	-1236833.8144	-1345339.3072
22300000	-1347610.6428	-1236842.4967	-1343587.9332
22350000	-1348270.8917	-1236499.5273	-1343289.2921
22400000	-1346780.9359	-1236715.4712	-1344970.0062
22450000	-1346916.4412	-1237152.0804	-1345424.8142
22500000	-1347751.8563	-1235901.8720	-1343938.2764
22550000	-1347501.4654	-1236819.4460	-1344015.4369
22600000	-1347786.5219	-1237326.7014	-1343450.1978
22650000	-1347374.9059	-1235771.8293	-1344685.4390
22700000	-1347513.1801	-1236097.4389	-1345064.3563
22750000	-1347814.4099	-1236251.0088	-1344981.6037
22800000	-1347488.2983	-1236016.2425	-1345576.6958
22850000	-1347109.9159	-1237771.6996	-1343614.6142
22900000	-1347490.0280	-1237233.2927	-1345080.9979
22950000	-1346715.3208	-1236118.3676	-1344320.8306
23000000	-1347935.1470	-1237494.8314	-1345210.9859
23050000	-1345799.2567	-1236441.5837	-1344926.7172
23100000	-1347421.5583	-1236929.8165	-1344625.8953
23150000	-1347695.6210	-1237908.4790	-1343888.7047
23200000	-1347822.7520	-1239213.8591	-1345347.5661
23250000	-1347253.5309	-1236651.4788	-1344837.3099
23300000	-1347330.5179	-1235316.4009	-1344311.4103
23350000	-1346920.1260	-1237263.0159	-1344556.3938
23400000	-1348710.3017	-1236127.9557	-1343775.3473
23450000	-1347495.0956	-1237428.0937	-1344994.6705
23500000	-1347661.5290	-1235698.9262	-1344845.8399
23550000	-1348658.0854	-1237482.9174	-1343084.6296
23600000	-1347475.5558	-1236177.0680	-1344485.7907
23650000	-1348020.2654	-1236085.4379	-1345602.1945
23700000	-1346375.9858	-1236645.8889	-1343052.4204
23750000	-1349809.0358	-1237220.4904	-1343991.1585
23800000	-1347396.4395	-1235404.0657	-1345212.1444
23850000	-1347052.0729	-1238432.7580	-1344692.0512
23900000	-1347335.4332	-1236911.0743	-1342903.3291
23950000	-1347087.7665	-1237647.5631	-1344335.9191
24000000	-1346632.1775	-1236849.7281	-1344529.9216
24050000	-1346728.7274	-1236980.6925	-1344673.9514
24100000	-1346923.0018	-1236180.8760	-1346126.0022
24150000	-1347362.1934	-1236555.7713	-1344107.2587
